navigation,pid,qid,result
burger,1LVR1BA,3,7
burger,34M20O3,0,1
burger,34M20O3,1,2
burger,34M20O3,2,1
burger,34M20O3,3,3
swipe,3V5IM4C,0,1
swipe,3V5IM4C,1,1
swipe,3V5IM4C,2,1
swipe,3V5IM4C,3,7
burger,3RPMKQ7,0,1
burger,3RPMKQ7,1,2
burger,3RPMKQ7,2,1
burger,3RPMKQ7,3,5
swipe,2GEOQ9P,0,1
swipe,2GEOQ9P,1,2
swipe,2GEOQ9P,2,1
swipe,2GEOQ9P,3,6
swipe,3IMSUI8,0,1
swipe,3IMSUI8,1,1
swipe,3IMSUI8,2,1
swipe,3IMSUI8,3,7
swipe,3NC8CCE,0,2
swipe,3NC8CCE,1,2
swipe,3NC8CCE,2,2
swipe,3NC8CCE,3,4
swipe,2TLFJA1,0,1
swipe,2TLFJA1,1,1
swipe,2TLFJA1,2,1
swipe,2TLFJA1,3,6
swipe,E21CVE,0,1
swipe,E21CVE,1,1
swipe,E21CVE,2,7
swipe,E21CVE,3,5
burger,QG9SV3,0,1
burger,QG9SV3,1,1
burger,QG9SV3,2,1
burger,QG9SV3,3,6
swipe,72FFTI,0,1
swipe,72FFTI,1,2
swipe,72FFTI,2,1
swipe,72FFTI,3,3
burger,F9ICJS,0,2
burger,F9ICJS,1,1
burger,F9ICJS,2,2
burger,F9ICJS,3,6
burger,20EJ1N9,0,1
burger,20EJ1N9,1,1
burger,20EJ1N9,2,1
burger,20EJ1N9,3,5
swipe,1AI5CFN,0,1
swipe,1AI5CFN,1,1
swipe,1AI5CFN,2,3
swipe,1AI5CFN,3,2
